"Order_ID","Order_Date","Order_Quantity","Sales","Profit","Unit_Price","Customer_Segment","Product_Category","Region"
4132,2016-05-27,5,14.76,1.32,2.88,"Corporate","Office Supplies","Region 8"
4612,2015-09-19,9,89.55,-375.64,4.48,"Corporate","Office Supplies","Region 8"
4676,2016-08-30,11,1210.0515,-104.25,125.99,"Home Office","Technology","Region 8"
4676,2016-08-30,50,187.83,85.96,3.75,"Home Office","Office Supplies","Region 8"
4676,2016-08-30,3,49.59,-8.38,12.28,"Home Office","Office Supplies","Region 8"
4676,2016-08-30,30,4253.009,1115.69,155.99,"Home Office","Technology","Region 8"
5284,2016-07-07,7,59.38,-3.05,8.69,"Home Office","Office Supplies","Region 8"
5316,2014-01-30,42,1285.37,514.07,31.78,"Corporate","Technology","Region 8"
5409,2017-01-07,11,48.91,-7.04,3.98,"Corporate","Office Supplies","Region 8"
5506,2015-11-07,22,129.62,4.41,5.88,"Corporate","Office Supplies","Region 8"
5569,2015-04-29,12,118.97,-0.06,9.65,"Corporate","Furniture","Region 8"
5607,2016-12-30,8,61.8715,-50.33,7.99,"Home Office","Technology","Region 8"
5894,2014-08-12,7,384.33,87.68,58.1,"Corporate","Office Supplies","Region 8"
5894,2014-08-12,3,239.03,-68.22,80.48,"Corporate","Office Supplies","Region 8"
5925,2016-11-11,44,3922.42,-354.9,92.23,"Home Office","Furniture","Region 8"
5925,2016-11-11,25,1733.3625,-267.01,85.99,"Home Office","Technology","Region 8"
6016,2017-01-19,19,208.28,3.63,11.48,"Home Office","Office Supplies","Region 8"
6116,2014-03-20,6,9620.82,-1759.58,1637.53,"Corporate","Office Supplies","Region 8"
6182,2017-07-21,40,255.48,-116.79,6.48,"Corporate","Office Supplies","Region 8"
6182,2017-07-21,18,130.32,-67.28,6.48,"Corporate","Office Supplies","Region 8"
6535,2017-06-12,11,312.36,-19.33,28.15,"Corporate","Office Supplies","Region 8"
6884,2014-01-15,41,217,-61.21,4.98,"Home Office","Office Supplies","Region 8"
6884,2014-01-15,47,296.13,119.09,6.35,"Home Office","Office Supplies","Region 8"
6916,2015-06-04,40,436.17,-141.27,10.9,"Consumer","Office Supplies","Region 8"
6980,2015-02-18,18,136.29,-77.28,7.3,"Consumer","Office Supplies","Region 8"
6982,2016-11-15,32,1311.25,407.44,39.48,"Corporate","Technology","Region 8"
6982,2016-11-15,5,544.41,-338.27,100.98,"Corporate","Furniture","Region 8"
6982,2016-11-15,41,844.09,52.56,19.98,"Corporate","Furniture","Region 8"
7110,2016-08-06,22,6396.2,1902.24,276.2,"Corporate","Furniture","Region 8"
7430,2015-06-08,50,751.77,353.2,15.67,"Corporate","Office Supplies","Region 8"
7906,2014-10-17,37,1003.06,271.78,25.98,"Consumer","Office Supplies","Region 8"
8391,2016-08-27,4,1266.72,-268.36,300.98,"Corporate","Furniture","Region 8"
8419,2016-09-28,19,368.04,70.39,19.98,"Small Business","Office Supplies","Region 8"
8419,2016-09-28,24,152.6,-86.62,6.48,"Small Business","Office Supplies","Region 8"
8833,2017-05-04,40,3338.98,-846.73,80.98,"Small Business","Office Supplies","Region 8"
8995,2016-05-16,5,24.16,8.05,1.88,"Consumer","Office Supplies","Region 8"
8995,2016-05-16,41,270.84,-78.02,6.48,"Consumer","Office Supplies","Region 6"
8995,2016-05-16,35,3389.93,737.94,102.3,"Consumer","Furniture","Region 6"
8995,2016-05-16,42,266.36,-191.28,6.48,"Consumer","Office Supplies","Region 6"
8995,2016-05-16,46,89.41,-21.49,1.89,"Consumer","Office Supplies","Region 6"
9126,2014-11-17,47,2799.7,884.08,62.05,"Corporate","Office Supplies","Region 6"
9509,2017-10-07,36,12175.82,2825.15,320.98,"Home Office","Furniture","Region 6"
9509,2017-10-07,5,101.21,2.13,18.97,"Home Office","Office Supplies","Region 6"
9509,2017-10-07,32,1585.64,707.15,48.91,"Home Office","Office Supplies","Region 6"
9763,2016-08-12,44,176.26,75.13,4.13,"Corporate","Office Supplies","Region 6"
9927,2016-08-15,32,4655.07,-270.63,140.98,"Corporate","Furniture","Region 6"
9927,2016-08-15,44,10087.6,3387.35,218.08,"Corporate","Furniture","Region 6"
9927,2016-08-15,34,1608.08,-82.16,50.98,"Corporate","Technology","Region 6"
10022,2014-03-04,1,12.18,-3.88,10.14,"Small Business","Office Supplies","Region 6"
10437,2014-08-18,50,820.52,-191.22,15.99,"Corporate","Office Supplies","Region 6"
10499,2015-11-16,29,6250.936,31.21,262.11,"Corporate","Furniture","Region 6"
10535,2016-05-26,25,854.88,-44.14,33.98,"Corporate","Furniture","Region 6"
10535,2016-05-26,46,80.27,-0.79,1.76,"Corporate","Office Supplies","Region 6"
10791,2016-08-18,20,400.57,93.36,19.98,"Small Business","Office Supplies","Region 6"
10945,2017-01-02,14,1170.025,4.22,95.99,"Consumer","Technology","Region 6"
11137,2017-11-29,48,5188.86,395.12,111.03,"Small Business","Office Supplies","Region 6"
11202,2017-03-17,8,339.81,79.59,43.41,"Corporate","Office Supplies","Region 6"
11460,2015-08-24,30,102.24,37.79,3.69,"Home Office","Office Supplies","Region 6"
11911,2015-11-10,25,397.84,-14.75,15.22,"Consumer","Office Supplies","Region 6"
11941,2015-06-24,4,73.07,-41.01,15.7,"Corporate","Office Supplies","Region 6"
11941,2015-06-24,26,4679.1,111.52,179.29,"Corporate","Furniture","Region 6"
12096,2017-09-19,46,8009.5925,2332.4,200.99,"Home Office","Technology","Region 6"
12096,2017-09-19,23,4689.66,2176.19,194.3,"Home Office","Furniture","Region 6"
12289,2016-12-23,25,3019.41,1269.05,120.97,"Corporate","Technology","Region 6"
12352,2017-03-23,5,36.86,-32.82,5.81,"Corporate","Office Supplies","Region 6"
12419,2016-10-14,12,22079.47,5322.14,1938.02,"Corporate","Technology","Region 6"
12485,2015-08-07,24,5407.31,1068.48,226.67,"Home Office","Furniture","Region 6"
12544,2014-03-03,34,74.3,-129.01,2.08,"Corporate","Furniture","Region 6"
12704,2015-02-09,44,21506.77,1260.51,499.99,"Small Business","Technology","Region 6"
12704,2015-02-09,28,669.02,-1274.02,20.98,"Small Business","Office Supplies","Region 6"
12771,2014-01-17,40,1143.49,-193.44,30.53,"Small Business","Office Supplies","Region 6"
12771,2014-01-17,46,78.08,-43.1,1.68,"Small Business","Office Supplies","Region 6"
13280,2014-09-11,40,460.68,-116.76,10.9,"Small Business","Office Supplies","Region 6"
13280,2014-09-11,49,318.7585,-160.95,7.99,"Small Business","Technology","Region 6"
13313,2014-07-16,47,1020.61,-209.61,21.66,"Home Office","Office Supplies","Region 6"
13346,2017-11-15,44,268.34,-240.83,6.48,"Corporate","Office Supplies","Region 6"
13702,2016-09-09,6,209,12.32,35.44,"Small Business","Office Supplies","Region 6"
13795,2016-04-09,30,501.32,-119.08,15.99,"Small Business","Office Supplies","Region 6"
13795,2016-04-09,23,275.16,43.35,11.34,"Small Business","Office Supplies","Region 6"
13795,2016-04-09,37,1302.99,545.49,35.44,"Small Business","Office Supplies","Region 6"
14116,2016-10-08,1,40.1,-16.07,30.98,"Small Business","Office Supplies","Region 6"
14116,2016-10-08,42,1414.05,161.48,34.54,"Small Business","Office Supplies","Region 6"
14372,2017-10-23,34,5350.61,-1059.2,170.98,"Corporate","Furniture","Region 6"
14726,2017-01-07,15,310.87,-21.48,20.95,"Consumer","Technology","Region 6"
15106,2016-01-27,42,283.58,-14.23,6.64,"Home Office","Furniture","Region 6"
15106,2016-01-27,39,5403.37,948.79,145.45,"Home Office","Technology","Region 6"
15106,2016-01-27,35,82.15,-6.33,2.21,"Home Office","Office Supplies","Region 6"
15108,2014-08-27,50,2066.16,372.36,40.99,"Small Business","Office Supplies","Region 6"
15205,2016-03-16,18,4605.36,678.26,243.98,"Corporate","Furniture","Region 6"
15205,2016-03-16,42,1753.51,155.72,39.98,"Corporate","Furniture","Region 6"
15591,2017-06-06,31,426.34,73.53,12.58,"Small Business","Furniture","Region 6"
15937,2017-11-06,32,311.44,74.07,9.78,"Corporate","Technology","Region 6"
15937,2017-11-06,17,215.65,77.38,12.22,"Corporate","Furniture","Region 6"
16039,2017-05-16,3,121.12,-118.82,43.98,"Home Office","Technology","Region 6"
16423,2017-08-05,19,128.21,-55.13,6.48,"Corporate","Office Supplies","Region 6"
16451,2014-07-22,9,252.79,58.23,30.56,"Corporate","Office Supplies","Region 6"
16545,2015-05-09,10,50.97,4.45,5.16,"Small Business","Office Supplies","Region 6"
16545,2015-05-09,1,4.99,-3.06,3.68,"Small Business","Office Supplies","Region 6"
16547,2014-02-18,30,10554.63,1240.25,355.98,"Corporate","Furniture","Region 6"
16547,2014-02-18,8,1749.64,-533.23,218.75,"Corporate","Furniture","Region 6"
16706,2017-06-27,47,1943.72,-1003.58,41.47,"Corporate","Furniture","Region 6"
16706,2017-06-27,6,18.37,-4.06,2.78,"Corporate","Office Supplies","Region 6"
16706,2017-06-27,49,6175.777,1881.58,155.99,"Corporate","Technology","Region 6"
16741,2015-09-30,6,157.97,-42.38,22.84,"Small Business","Office Supplies","Region 6"
16932,2015-04-15,25,144.84,-120.99,5.78,"Consumer","Office Supplies","Region 6"
16932,2015-04-15,20,127.16,12.88,6.7,"Consumer","Office Supplies","Region 6"
17283,2016-09-13,4,5472.12,-2816.34,1360.14,"Home Office","Technology","Region 6"
17286,2015-09-21,7,1810.67,-541.87,270.98,"Small Business","Furniture","Region 6"
17409,2015-08-17,31,633.56,-158.87,20.97,"Small Business","Technology","Region 6"
17764,2014-09-16,27,644.4,-97.28,22.84,"Home Office","Office Supplies","Region 6"
18113,2017-08-28,27,3316.08,-514.32,130.98,"Consumer","Furniture","Region 6"
18144,2016-06-06,48,207.08,-131.82,4.28,"Corporate","Office Supplies","Region 6"
18144,2016-06-06,8,234.28,-65.42,28.28,"Corporate","Office Supplies","Region 6"
18144,2016-06-06,41,1779.8915,-250.17,55.99,"Corporate","Technology","Region 6"
18308,2014-10-09,30,114.12,15.73,3.8,"Corporate","Office Supplies","Region 6"
18308,2014-10-09,15,436.05,-92.58,30.73,"Corporate","Technology","Region 6"
18308,2014-10-09,49,5247.4835,1465.87,125.99,"Corporate","Technology","Region 6"
18887,2015-12-05,9,173.417,18.23,20.99,"Corporate","Technology","Region 6"
19010,2014-06-07,18,23792.93,10951.31,1270.99,"Small Business","Office Supplies","Region 6"
19655,2014-01-11,31,1143.45,304.42,39.24,"Corporate","Technology","Region 6"
19686,2015-08-15,2,42.31,-53.08,17.98,"Corporate","Technology","Region 6"
19686,2015-08-15,11,152.67,12.76,12.95,"Corporate","Office Supplies","Region 6"
20007,2014-08-05,49,82.61,-46.25,1.68,"Small Business","Office Supplies","Region 6"
20071,2016-09-16,31,789.94,-190.41,25.98,"Home Office","Furniture","Region 6"
20160,2016-10-21,42,435.24,174.89,10.31,"Small Business","Office Supplies","Region 6"
20263,2014-11-14,8,473.7,72.51,59.78,"Small Business","Office Supplies","Region 6"
20263,2014-11-14,33,553.5625,-76.86,20.99,"Small Business","Technology","Region 6"
21285,2015-07-03,32,54.78,-30.54,1.68,"Corporate","Office Supplies","Region 6"
21285,2015-07-03,47,304.83,23.82,7.08,"Corporate","Office Supplies","Region 6"
21383,2014-01-30,31,16066.85,7416.43,574.74,"Consumer","Technology","Region 6"
21607,2017-03-15,17,618.9,54.92,36.55,"Home Office","Office Supplies","Region 6"
21889,2015-04-01,21,1049.79,135.79,51.75,"Consumer","Furniture","Region 6"
21889,2015-04-01,16,817.18,103.38,55.29,"Consumer","Office Supplies","Region 6"
22151,2015-07-31,49,465.83,-79.72,9.65,"Corporate","Furniture","Region 6"
22342,2014-05-29,13,241.706,-92.96,20.99,"Small Business","Technology","Region 6"
22501,2015-05-18,2,30.83,7.27,7.64,"Corporate","Office Supplies","Region 6"
22532,2016-02-08,13,121.66,-11.8,8.85,"Consumer","Office Supplies","Region 6"
23264,2015-12-07,16,108.42,-50.82,6.48,"Corporate","Office Supplies","Region 6"
23264,2015-12-07,27,78.47,17.99,2.88,"Corporate","Office Supplies","Region 6"
23488,2014-01-06,30,26133.39,-11053.6,880.98,"Home Office","Furniture","Region 6"
24007,2015-08-26,26,531.66,135.65,20.89,"Home Office","Technology","Region 6"
24007,2015-08-26,28,317.85,-13.95,11.58,"Home Office","Office Supplies","Region 6"
24007,2015-08-26,42,163.08,66.17,4.13,"Home Office","Office Supplies","Region 6"
24097,2015-08-04,1,17.19,-35.34,14.48,"Small Business","Technology","Region 6"
24097,2015-08-04,27,2689.48,399.93,99.99,"Small Business","Technology","Region 6"
24097,2015-08-04,2,15.31,-8.15,4.98,"Small Business","Office Supplies","Region 6"
24128,2015-11-23,13,270.63,7.07,21.98,"Corporate","Office Supplies","Region 6"
24128,2015-11-23,43,6583.913,1459.79,195.99,"Corporate","Technology","Region 6"
24294,2014-08-02,24,4865.72,1951.3,200.97,"Home Office","Technology","Region 6"
24387,2016-08-09,23,1003.31,51.9,40.97,"Small Business","Furniture","Region 6"
24387,2016-08-09,17,6048.18,1418.36,349.45,"Small Business","Furniture","Region 6"
24515,2015-05-06,41,3051.27,121.48,80.97,"Home Office","Technology","Region 6"
24743,2017-06-28,47,9633.59,176.67,216.6,"Corporate","Furniture","Region 6"
24743,2017-06-28,26,3758.77,753.61,140.81,"Corporate","Furniture","Region 6"
24871,2016-03-22,6,143.78,75.3,22.72,"Corporate","Furniture","Region 6"
25318,2016-11-18,22,440.92,-65.18,19.98,"Small Business","Furniture","Region 6"
25634,2015-07-29,29,593.32,28.99,20.95,"Corporate","Technology","Region 6"
25634,2015-07-29,26,626.07,185.32,23.99,"Corporate","Office Supplies","Region 6"
25733,2017-05-12,24,557.23,-42.99,24.92,"Home Office","Office Supplies","Region 6"
25767,2017-03-03,7,261.88,-59.2,39.48,"Corporate","Technology","Region 6"
25767,2017-03-03,15,593.73,108.01,38.76,"Corporate","Office Supplies","Region 6"
26023,2015-08-20,49,120.77,19.86,2.47,"Corporate","Office Supplies","Region 6"
26051,2015-06-27,22,795.74,-127.39,33.94,"Home Office","Furniture","Region 6"
26051,2015-06-27,31,251.75,22.46,8.33,"Home Office","Technology","Region 6"
26182,2015-01-16,30,4684.9,-549.27,150.98,"Corporate","Furniture","Region 6"
26272,2017-06-29,6,905.94,-4.19,140.81,"Home Office","Furniture","Region 6"
26499,2015-02-21,11,32.4,8.78,2.88,"Corporate","Office Supplies","Region 6"
26567,2014-09-04,8,50.7,-44.07,5.4,"Corporate","Office Supplies","Region 6"
26567,2014-09-04,10,90.06,-100.51,8.46,"Corporate","Technology","Region 6"
26567,2014-09-04,22,338.52,-17.75,14.98,"Corporate","Furniture","Region 6"
26567,2014-09-04,48,6109.817,1374.95,155.99,"Corporate","Technology","Region 6"
26854,2014-06-21,1,34.11,-12.95,25.38,"Home Office","Furniture","Region 6"
27109,2017-02-07,48,538.22,-154.66,10.97,"Consumer","Technology","Region 6"
27111,2014-03-11,11,1064.23,-127.56,99.99,"Home Office","Technology","Region 6"
27111,2014-03-11,18,3497.05,282.18,193.17,"Home Office","Office Supplies","Region 6"
27111,2014-03-11,44,774.0525,-96.34,20.99,"Home Office","Technology","Region 6"
27264,2016-06-03,3,74.05,44.54,19.99,"Small Business","Furniture","Region 6"
27392,2017-03-02,37,5753.85,2509.52,150.98,"Corporate","Technology","Region 6"
27553,2016-08-11,48,18235.47,1166.93,370.98,"Corporate","Office Supplies","Region 6"
27553,2016-08-11,16,2631.107,297.11,179.99,"Corporate","Technology","Region 6"
27555,2014-09-01,32,209.42,65.41,6.74,"Consumer","Office Supplies","Region 6"
27680,2015-01-26,32,324.4,-46.98,10.89,"Small Business","Office Supplies","Region 6"
27680,2015-01-26,19,137.02,-46.89,6.48,"Small Business","Office Supplies","Region 6"
27778,2016-09-01,1,232.67,-105.14,223.98,"Corporate","Office Supplies","Region 6"
27778,2016-09-01,34,4805.92,-393.96,140.98,"Corporate","Furniture","Region 6"
27909,2017-02-06,1,62.26,-23.24,54.96,"Corporate","Office Supplies","Region 6"
27909,2017-02-06,47,58.53,-24.86,1.26,"Corporate","Office Supplies","Region 6"
28003,2016-03-18,31,157.79,-95.92,4.98,"Corporate","Office Supplies","Region 6"
28035,2016-05-07,19,376.21,89.56,18.99,"Home Office","Office Supplies","Region 6"
28135,2014-09-25,37,1601.24,520.69,46.89,"Corporate","Office Supplies","Region 6"
28135,2014-09-25,40,501.31,38.23,12.98,"Corporate","Office Supplies","Region 6"
28289,2015-01-14,31,166.76,-46.03,4.98,"Corporate","Office Supplies","Region 6"
28486,2014-08-26,2,811.13,-517.47,415.88,"Corporate","Office Supplies","Region 6"
28675,2014-10-08,15,822.8425,4.39,65.99,"Consumer","Technology","Region 6"
28870,2016-11-09,35,3310.9455,822.4,115.99,"Corporate","Technology","Region 6"
28871,2017-04-15,10,55.02,-56.12,5.02,"Small Business","Technology","Region 6"
29095,2016-03-07,40,291.67,54.46,6.75,"Small Business","Office Supplies","Region 6"
29287,2014-07-02,50,281.39,-106.4,5.74,"Consumer","Office Supplies","Region 6"
29287,2014-07-02,49,12593.91,2699.67,270.97,"Consumer","Technology","Region 6"
29510,2016-04-14,22,6123.94,1292.44,260.98,"Home Office","Furniture","Region 6"
29795,2016-11-24,49,19325.2,8793.54,387.99,"Small Business","Office Supplies","Region 6"
29795,2016-11-24,48,8380.22,813.83,160.98,"Small Business","Furniture","Region 6"
29861,2017-04-25,11,35.17,5.58,3.08,"Small Business","Office Supplies","Region 6"
30658,2016-03-25,35,17387.65,6907.61,499.99,"Corporate","Technology","Region 6"
30658,2016-03-25,44,6040.22,-942.5,138.14,"Corporate","Office Supplies","Region 6"
30947,2015-07-14,17,691.59,261.24,41.94,"Corporate","Office Supplies","Region 6"
30947,2015-07-14,45,345.2,183.53,7.31,"Corporate","Office Supplies","Region 6"
31077,2015-10-23,36,1955.0765,470.83,65.99,"Small Business","Technology","Region 6"
31169,2016-06-08,6,254.76,109.88,40.97,"Home Office","Furniture","Region 6"
31270,2017-11-23,21,6806.66,801.72,299.05,"Corporate","Furniture","Region 6"
31270,2017-11-23,3,891.61,-328.36,291.73,"Corporate","Furniture","Region 6"
31270,2017-11-23,5,165.04,-112.44,30.42,"Corporate","Technology","Region 6"
31364,2014-05-01,2,789.01,-539.59,415.88,"Corporate","Office Supplies","Region 6"
31393,2017-05-11,4,97.57,-27.31,19.94,"Corporate","Furniture","Region 6"
31393,2017-05-11,31,110.32,-32.65,3.68,"Corporate","Office Supplies","Region 6"
31492,2015-10-15,26,321.68,-12.25,11.97,"Small Business","Office Supplies","Region 6"
31492,2015-10-15,34,971.95,-21.1,29.74,"Small Business","Office Supplies","Region 6"
31492,2015-10-15,23,2149.03,-235.56,95.43,"Small Business","Office Supplies","Region 6"
31558,2016-07-22,12,3671.3,900.06,300.65,"Home Office","Office Supplies","Region 6"
31558,2016-07-22,42,1763.6,455.37,45.19,"Home Office","Technology","Region 6"
31684,2017-09-16,15,89.97,23.48,5.68,"Corporate","Office Supplies","Region 6"
31684,2017-09-16,28,456.91,-328.18,15.51,"Corporate","Office Supplies","Region 6"
31781,2014-01-16,46,249.02,-282.61,5.81,"Corporate","Office Supplies","Region 6"
31781,2014-01-16,41,78.49,5.53,1.81,"Corporate","Office Supplies","Region 6"
32193,2015-10-20,4,40.72,-10.25,6.68,"Small Business","Office Supplies","Region 6"
32193,2015-10-20,27,113.3,37.33,3.93,"Small Business","Office Supplies","Region 6"
32743,2015-05-07,19,3548.67,1280.19,177.98,"Corporate","Office Supplies","Region 6"
32806,2016-06-20,8,178.78,-28.34,20.24,"Home Office","Furniture","Region 6"
33123,2015-11-24,41,6045.98,-996.67,150.98,"Corporate","Furniture","Region 6"
33159,2017-04-27,3,56.695,-70.97,20.99,"Corporate","Technology","Region 6"
33186,2017-08-28,24,1350.531,221.18,65.99,"Corporate","Technology","Region 6"
33377,2016-07-30,20,100.4,11.94,5.18,"Corporate","Office Supplies","Region 6"
33377,2016-07-30,19,327.15,47.3,17.24,"Corporate","Office Supplies","Region 6"
33444,2017-10-06,11,30.51,-17.68,2.6,"Corporate","Office Supplies","Region 6"
33444,2017-10-06,8,127.8,-30.48,14.97,"Corporate","Office Supplies","Region 6"
33703,2015-02-06,4,242.36,-131.48,60.98,"Corporate","Technology","Region 6"
33703,2015-02-06,25,802.19,56.26,29.74,"Corporate","Office Supplies","Region 6"
33703,2015-02-06,4,63.52,-8.47,12.21,"Corporate","Office Supplies","Region 6"
33888,2014-08-20,31,349.43,-44.92,11.5,"Home Office","Office Supplies","Region 6"
33888,2014-08-20,3,58.33,-35.08,15.7,"Home Office","Office Supplies","Region 6"
33888,2014-08-20,47,10377.22,965.48,225.02,"Home Office","Office Supplies","Region 6"
33922,2015-02-27,31,15251.5,5353.19,500.97,"Home Office","Technology","Region 6"
34177,2014-08-15,13,34.42,9.47,2.61,"Corporate","Office Supplies","Region 6"
34177,2014-08-15,26,172.76,73.18,7.31,"Corporate","Office Supplies","Region 6"
34177,2014-08-15,50,853.162,-83.95,20.99,"Corporate","Technology","Region 6"
34215,2016-05-13,6,35.65,-5.92,5.34,"Home Office","Office Supplies","Region 6"
34246,2015-10-07,49,199.86,-257.11,4.06,"Home Office","Office Supplies","Region 6"
34246,2015-10-07,18,1888.02,192.33,99.99,"Home Office","Technology","Region 6"
34246,2015-10-07,27,322.69,1.91,11.58,"Home Office","Office Supplies","Region 6"
34631,2014-10-23,5,22.06,-22.28,3.36,"Corporate","Office Supplies","Region 6"
34631,2014-10-23,19,12616.2,2808.22,699.99,"Corporate","Technology","Region 6"
35047,2015-06-09,31,148.17,-7.06,4.71,"Home Office","Office Supplies","Region 6"
35847,2014-01-30,23,361.65,-144.27,15.98,"Corporate","Technology","Region 6"
36644,2017-05-13,24,2298.32,218.72,99.99,"Corporate","Technology","Region 6"
36646,2015-06-08,24,1168.15,-743.96,48.91,"Small Business","Office Supplies","Region 6"
36707,2014-11-29,47,181.78,71.56,3.78,"Home Office","Office Supplies","Region 6"
37253,2017-09-01,46,1184.32,-99.55,26.31,"Small Business","Technology","Region 6"
37541,2015-02-26,3,71.94,-70.68,20.95,"Small Business","Technology","Region 6"
37541,2015-02-26,10,550.61,98.32,55.98,"Small Business","Office Supplies","Region 6"
37541,2015-02-26,18,1373.11,-599.54,80.98,"Small Business","Office Supplies","Region 6"
37793,2014-11-08,16,224.47,-49.31,13.9,"Corporate","Office Supplies","Region 6"
37860,2015-08-27,1,104.85,-98.31,55.5,"Corporate","Furniture","Region 6"
38884,2017-08-17,47,256,-119.84,5.28,"Consumer","Office Supplies","Region 6"
38884,2017-08-17,20,6067.76,-98.05,296.18,"Consumer","Furniture","Region 6"
39364,2017-11-09,29,2754.93,-1.33,92.23,"Corporate","Furniture","Region 6"
39364,2017-11-09,15,19417.55,8417.57,1270.99,"Corporate","Office Supplies","Region 6"
39457,2016-06-01,40,4842.21,-1975.26,122.99,"Home Office","Furniture","Region 6"
39683,2016-08-09,31,615.58,168,18.99,"Corporate","Office Supplies","Region 6"
39683,2016-08-09,41,8387.1,2113.95,218.08,"Corporate","Furniture","Region 6"
39683,2016-08-09,6,126.02,66.97,20.24,"Corporate","Furniture","Region 6"
39683,2016-08-09,30,68.14,6.37,2.18,"Corporate","Office Supplies","Region 6"
39846,2014-02-27,14,71.47,-62.73,4.98,"Corporate","Technology","Region 6"
40067,2017-02-16,38,2157.3085,519.25,65.99,"Corporate","Technology","Region 6"
40132,2017-02-22,26,1363,149.83,50.98,"Corporate","Furniture","Region 6"
40132,2017-02-22,36,4698.5,-219.38,124.49,"Corporate","Furniture","Region 6"
40132,2017-02-22,16,347.47,-86.2,22.38,"Corporate","Office Supplies","Region 6"
40160,2014-10-15,23,1404.22,202.87,63.94,"Consumer","Furniture","Region 6"
40518,2014-03-13,3,17.52,-12.16,4.13,"Home Office","Office Supplies","Region 6"
40804,2015-03-12,36,4273.8,-1775.83,122.99,"Consumer","Furniture","Region 6"
40902,2014-07-07,25,192.18,-48.88,7.1,"Home Office","Office Supplies","Region 6"
41063,2017-11-21,22,483.96,-34.09,21.38,"Home Office","Office Supplies","Region 6"
41063,2017-11-21,10,308.363,42.27,35.99,"Home Office","Technology","Region 6"
41063,2017-11-21,26,1911.4035,822.89,85.99,"Home Office","Technology","Region 6"
41184,2016-09-21,7,120.03,-56.06,15.7,"Home Office","Office Supplies","Region 6"
41409,2016-07-20,1,18.92,-18.25,11.5,"Corporate","Office Supplies","Region 6"
42561,2015-02-06,15,1062.959,298.48,85.99,"Consumer","Technology","Region 6"
42564,2017-09-12,35,7468.86,2155.41,200.98,"Small Business","Furniture","Region 6"
42695,2015-12-22,12,710.328,-10.3,65.99,"Small Business","Technology","Region 6"
42981,2014-05-30,4,3510.82,232.44,896.99,"Home Office","Office Supplies","Region 6"
